Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Genesis Digital Assets",1632182400,"2021-09-21",431000000,"Private Equity","Genesis Digital Assets is an industrial-scale bitcoin mining operator.","","Mining","","","","Electric Capital + FTX + Kingsway Capital + NYDIG + Paradigm + Ribbit Capital + SkyBridge Capital + Stoneridge"
"Metrika",1632182400,"2021-09-21",14000000,"Series A","Operational Intelligence for Blockchain Networks","","Analytics","","","","Coinbase Ventures + Neotribe Ventures + Nyca Partners + Samsung Next + SCB 10X"
"Taker Protocol",1632096000,"2021-09-20",3000000,"Seed","Taker Protocol is a cryptocurrency liquidity protocol for NFTs.","","NFT","","","","Ascensive Assets + DCG + Dragonfly + Electric Capital + Morningstar Ventures + Sfermion + The Lao + The Spartan Group"
"Ripio",1632096000,"2021-09-20",50000000,"Series B","Ripio is a bitcoin and digital payments company that provides electronic payment solutions for businesses in Latin America.","","","","","","Amplo + Boost VC + DCG + Marcos Galperin + Martin Migoya + Tim Draper"
"DiMuto",1632096000,"2021-09-20",2350000,"Series A","DiMuto is a platform facilitating collaborative commerce that provides supply chain visibility.","","","","","","Asia Capital Pioneers Group + Latin Leap + Ocean Crest Investments + Patrick Vizzone + PT Great Giant Pineapple + Seeds Capital + SGInnovate + The Yield Lab Asia Pacific"
"Mineplex",1632096000,"2021-09-20",18000000,"Series B","payment, processing, mobile app, digital banking, cross-fi, cryptobank","","","","","",""
"XanPool",1632096000,"2021-09-20",27000000,"Series A","XanPool is a fintech firm that offers a software solution for exchanges, wallets, and other cryptocurrency businesses.","","Infrastructure","","","","Antler Global + gumi Cryptos Capital + Taavet Hinrikus + Valar Ventures + CMT Digital"
"Vault Hill",1631923200,"2021-09-18",2100000,"Pre-Seed","A human-centric metaverse designed to make you feel more human","","Metaverse","","","","Girnas Capital + Master Ventures + R-930 Capital + TrustSwap"
"Authena",1631836800,"2021-09-17",2400000,"Seed","Authena is the leading IoT and Blockchain platform for Product Authenticity and Traceability as a Service","Ecliptic Capital + Private Investor","IoT","","","",""
"MonoX Protocol",1631836800,"2021-09-17",5000000,"Seed","MonoX Protocol uses one liquidity pool and groups deposited tokens into a virtual pair with the vUSD stablecoin.","","DeFi","","","Polygon + Ethereum","3Commas + Animoca Brands + Axia8 Ventures + Block Dream Fund + Divergence Ventures + Genblock Capital + Krypital Group + LD Capital + OP Crypto + Rarestone Capital + Youbi Capital"
"Cobo",1631750400,"2021-09-16",40000000,"Series B","Cobo is Asias largest crypto custodian.","","CeFi","","","","A&T Capital + DST Global + IMO Ventures"
"LayerZero",1631750400,"2021-09-16",6000000,"Series A","Message passing between blockchains","Multicoin Capital + Binance Labs","Infrastructure","https://www.coindesk.com/tech/2021/09/16/interoperability-startup-layerzero-comes-out-of-stealth-with-6m-in-funding/","","","Sino Global Capital + Delphi Digital  + Robot Ventures + The Spartan Group + Hypershere + Protocol Ventures + Genblock Capital"
"Pledge Finance",1631750400,"2021-09-16",3000000,"Seed","Pledge Finance provides a lending platform for decentralized & open finance allowing crypto holders and investors to take a fixed-rate loan.","","DeFi","","","",""
"Ava Labs",1631750400,"2021-09-16",230000000,"ICO","AVA is a next-generation blockchain platform with revolutionary scalability, decentralization, security, and flexibility.","","L1","","","","CMS Holdings + Collab+Currency + Dragonfly + Lvna Capital + Polychain + Republic Crypto + 3AC"
"Coinfirm",1631750400,"2021-09-16",8000000,"Series A","Coinfirm is the global leader in regtech for digital currencies and the blockchain-based financial ecosystem.","","Infrastructure","","","","FiveT Fintech + Middlegame Ventures + Mission Gate + SIX FinTech Ventures"
"Naga",1631750400,"2021-09-16",22700000,"Post-IPO Equity","Naga AG Group is a German-based fintech company founded in 2015 and publicly listed on the Frankfurt Stock Exchange.","Elevat3 Capital","","","","",""
"Audius",1631750400,"2021-09-16",5000000,"","Audius is creating a fully decentralized community of artists, developers, and listeners collaborating to share and defend music.","","","","","","Coinbase Ventures + Electric Feel Ventures + Guy Lawrence + Howard Lawrence + Jason Derulo + John Josephson + Katy Perry + Lil Nas X + Mark Gillespie + Michael Kives + Mike Shinoda + Multicoin Capital"
"PrimeDAO",1631664000,"2021-09-15",2000000,"Seed","PrimeDAO is an open finance system based on programmable money that is being realized on Ethereum.","","","","","Ethereum","Atka Capital + Faculty Group + Fernando Martinelli + Griff Green + ID Theory + LD Capital + Meld Ventures + NiMA Asghari + Senary Ventures + Signum Capital + SMAPE Capital + Stacker Ventures + Stratos Technologies"
"Stardust",1631664000,"2021-09-15",5000000,"Seed","Stardust is a Software Platform for games building in the metaverse","","","","","","Blockchain Capital + Distributed Global + Double Peak Group + Framework Ventures + G1 Ventures + Gabby Dizon + Kleiner Perkins + Lattice Capital + Maven 11 Capital + Nikil Viswanathan + OP Crypto"
"Domination Finance",1631664000,"2021-09-15",3200000,"Seed","Domination Finance is a developer of a non-custodial financial instrument for traders.","","DeFi","","","Ethereum + Polygon + Boba","AU21 Capital + Ayesha Kiani + CoinGecko + Dragonfly Capital Management + GSR + Hart Lambur + HiggsBoson Venture + Huobi + JP Richardson + KNS Group + LD Capital + Min H. Kim + OP Crypto + ParaFi Capital"
"Treehouse Finance",1631664000,"2021-09-15",2350000,"Pre-Seed","Treehouse is a DeFi analytics platform that delivers data, analytics, and risk management to DeFi users and to drive community innovation.","","DeFi","","","Avalanche","Coinhako + CRC Capital + Global Founders Capital"
"Equity Shift",1631664000,"2021-09-15",2000000,"Seed","Intelligent operations platform that helps private entities effortlessly manage corporate activities with digital efficiency.","","","","","",""
"Floating Point Group",1631664000,"2021-09-15",10000000,"Series A","Floating Point Group is drastically simplifying the operations for investors to deploy cryptocurrency strategies at meaningful scale.","","","","","","Anthony Scaramucci + Borderless Capital + CapitalX + Coinbase Ventures + Dillon Hattab + Formula Ventures + Leon Hillmann + Nitesh Banta + Tribe Capital"
"Abra",1631664000,"2021-09-15",55000000,"Series C","Savings & Exchange","Ignia + Blockchain Capital","CeFi","https://www.coindesk.com/business/2021/09/15/crypto-app-abra-raises-55m-to-develop-high-net-worth-institutional-offerings/","","","Kingsway Capital + Tiga Investments"
"Blockware Mining",1631664000,"2021-09-15",34000000,"","Blockware Mining is a diversified Bitcoin mining infrastructure and colocation service provider.","","Mining","","","",""
"Kyro Digital Corp.",1631577600,"2021-09-14",5000000,"Seed","Kyro is the first native Web3 builder, and software-as-a-service platform for crypto marketplaces.","Woodside Incubator","","","","",""
"Amberdata",1631577600,"2021-09-14",15000000,"Series A","Amberdata is a blockchain and cryptoasset data company that offers tools for exchanges, wallets, traders, and developers.","","Infrastructure","","","","Citi + Franklin Templeton Investments + Galaxy Digital + Hummer Winblad Venture Partners + Rovida Advisors"
"Immutable Systems",1631577600,"2021-09-14",60000000,"Series B","Immutable Systems delivers a radically new approach to cloud security.","","","","","","AirTree Ventures + Alameda Research + Apex Capital Partners + BITKRAFT Ventures + Cashican People LLC + Double Peak Group + Fabric Ventures + Galaxy Interactive + High Naut Capital + King River Capital + Mint Ventures + Possible Ventures + Prosus Ventures + Regal Funds Management"
"LootMogul",1631577600,"2021-09-14",2560000,"Seed","LootMogul is an athlete-led sports metaverse web3 platform that uses blockchain games, meta stores for brands and players.","","Metaverse","","","","Angel + Powerhouse Ventures + U2opia Mobile"
"Firefly Exchange",1631577600,"2021-09-14",22800000,"","Firefly is a decentralized, orderbook-based exchange with sub-second trade settlement.","","DeFi","","","","Alameda Research + Altonomy + CMS Holdings + DeFiance Capital + Divergence Ventures + Hypersphere Ventures + Maven Capital + mgnr.io + Polychain"
"Colendi",1631577600,"2021-09-14",38000000,"Series A","A multifunctional banking as a service platform that democratizes banking services for consumers, merchants, and financial institutions","Re-Pie Asset Management","","","","",""
"Creaton",1631491200,"2021-09-13",1100000,"Pre-Seed","Creaton is a Web3 Membership Platform that helps in engaging fans, creating ownership of content - with NFT and earning real-time income.","Tykhe Block Ventures","","","","",""
"RECUR",1631491200,"2021-09-13",50000000,"Series A","RECUR designs and develops on-chain branded experiences for fans to buy, collect, and re-sell NFTs.","","NFT","","","","640 Oxford Ventures + Chris Hermida + Courtside Ventures + David Choi + DeFi Alliance + Delphi Ventures + DIGITAL + Divergence Ventures + Gary Vaynerchuk + Gemini + Hashed + CMT Digital"
"Bit2Me",1631491200,"2021-09-13",8760000,"ICO","Suite of blockchain services for exchanging cryptocurrencies and boost the adoption of Bitcoin","","","","","",""
"Credora",1631491200,"2021-09-13",8000000,"Series A","The complete lending solution powered by real-time zero-knowledge risk metrics","","","","","","Alameda Research + Bixin Ventures + CMS Holdings + Bybit + Coinbase Ventures + CoinShares + DCG + Dunamis Trading + Gemini Frontier Fund + GSR Ventures + HashKey + CMT Digital"
"cmorq",1631404800,"2021-09-12",2750000,"Seed","cmorq organizes blockchain data into standard products that empower institutions and individuals.","","","","","",""
"Glitter Finance",1631404800,"2021-09-12",3310000,"Seed","Glitter Finance is a platform addressing current capital inefficiency in decentralized finance.","MaxxCapital + MH Ventures + Outlier Ventures","DeFi","","","Solana + Algorand",""
"Authtrail",1631318400,"2021-09-11",3600000,"Pre-Seed","Authtrail is a Web3 Managed Services Provider with a complete toolbox and access to Polkadots technology stack.","Konstantin Koos","","","","",""
"Argo Blockchain",1631232000,"2021-09-10",24970000,"Post-IPO Debt","Argo is a blockchain technology company that offers cryptocurrency mining, smart contract fulfillment, and ease of transactions.","Galaxy Digital","Infrastructure","","","",""
"EXIP",1631145600,"2021-09-09",30000000,"","A Decentralized Internet Governed by the Community","FasterCapital","","","","",""
"IO Systems",1631145600,"2021-09-09",7000000,"Seed","IO Systems is a platform providing liquidity and security to the crypto economy in Central Asia through Machine Learning","","","","","",""
"SZNS",1631145600,"2021-09-09",10000000,"Seed","SZNS is a platform to collectively own and manage NFT assets.","","NFT","","","","Baller ventures + Cypher Capital + Dragonfly Capital + Framework Ventures + Pear VC"
"Emerald Ocean Ventures",1631059200,"2021-09-08",1000000,"Seed","","","","","","",""
"Eden Network",1631059200,"2021-09-08",17400000,"Seed","Eden Network is a priority transaction network that protects Ethereum traders from arbitrary block reordering.","","","","","","Alameda Research + Andre Cronje + DeFiance Capital + GSR + Jump Capital + Multicoin Capital + Wintermute Trading"
"Ulti Arena",1631059200,"2021-09-08",4000000,"Seed","Ulti Aren is the NFT marketplace for Game Assets with innovative Proof-of-Gaming","Lucid Blue Ventures + Panda Capital","NFT","","","",""
"Blockmetrix",1631059200,"2021-09-08",1800000,"","Blockmetrix is a Bitcoin mining company that offers a peer-to-peer payment network that helps validate crypto transactions.","","Mining","","","",""
"SubQuery",1631059200,"2021-09-08",9000000,"Series A","SubQuery is a platform that makes decentralised data more accessible.","","Analytics","","","","AngelDAO + Arrington XRP Capital + DCG + DOUBLE TOP + gumi Cryptos Capital + Hypersphere Ventures + NGC Ventures + Skynet Trading + Stratos Technologies + Wintermute Trading"
"MatterFi",1631059200,"2021-09-08",8730000,"","MatterFi is a financial services company that provides a Defi digital asset management platform.","","","","","",""
"Mercurity",1631059200,"2021-09-08",5000000,"Post-IPO Equity","Mercurity provides global real-time payment network services.","","","","","","Guanrui Technology + Teao Technology Co + Xuan Ying Co"
"AKRU",1630972800,"2021-09-07",2000000,"Seed","Blockchain backed marketplace for creating and trading fractionalized Real Estate assets","","Web3","","","","Draper Goren Holm + Milwaukee Venture Partners + Queen City Angels + Wisconsin Investment Partners"
"deBridge Finance",1630972800,"2021-09-07",5500000,"Seed","deBridge is a cross-chain interoperability and liquidity transfer protocol that allows decentralized transfer of assets between blockchains.","","DeFi","","","Ethereum + Polygon + BSC + Arbitrum + Heco","AngelDAO + Animoca Brands + Axia8 Ventures + BitScale + Chorus One Ventures + Crypto.com Capital + D64 Ventures + Digital Finance Group + Fundamental Labs + Gabby Dizon + GSR + IOSG Ventures + Huobi"
"TAIKAI Labs",1630972800,"2021-09-07",2370000,"Seed","The ultimate virtual hackathons & bounties solution","","","","","","Bright Pixel + FinLab EOS VC + Portugal Ventures"
"Zebedee",1630972800,"2021-09-07",11500000,"Series A","Zebedee focuses on providing secure infrastructure to power real economies in digital experiences and environments.","","Infrastructure","","","","Alexis Bonte + Hilmar Veigar Petursson + Initial Capital + John Salter + Lakestar + New Form Capital + Timo Soininen + Tribeca Venture Partners"
"Cyclos",1630886400,"2021-09-06",2100000,"Seed","Cyclos is a newly developed Solana-powered Defi project.","","DeFi","","","Solana","CMS Holdings + Coin98 Ventures + Cryptomeria Capital + Digital Strategies + Gate.io + HashKey + Huobi + Illusionist Group + MarketAcross + MXC Exchange + PetRock Capital + Skyvision Capital + Solana Foundation"
